Package Name,Dependencies,Optional Dependencies,Needed By,Config File Path
curl,ca-certificates  brotli  libbrotlidec.so=1-64  krb5  libgssapi_krb5.so=2-64  libidn2  libidn2.so=0-64  libnghttp2  libpsl  libpsl.so=5-64  libssh2  libssh2.so=1-64  openssl  zlib  zstd  libzstd.so=1-64,None,feh  git  jp2a  libelf  libproxy  networkmanager  onlyoffice-bin  pacman  poppler  tpm2-tss,/etc/curl.conf
dav1d,glibc,dav1d-doc,chromium  electron22  ffmpeg  libavif  libheif,/etc/dav1d.conf
db,gcc-libs  sh,None,perl,/etc/db.conf
db5.3,gcc-libs  sh,None,jack2  perl,/etc/db5.3.conf
dbus,audit  expat  systemd-libs  libaudit.so=1-64  libsystemd.so=0-64,None,at-spi2-core  avahi  awesome  chromium  colord  dbus-glib  dbus-python  dropbox  jack2  libpcap  libpulse  libteam  picom  rtkit  systemd  wpa_supplicant  xorg-server,/etc/dbus.conf
dbus-glib,dbus  expat  glib2  glibc,None,firefox  parole  xfce4-screensaver,/etc/dbus-glib.conf
dbus-python,dbus  glib2  glibc  python,python-gobject,solaar,/etc/dbus-python.conf
dconf,glib2,None,colord  gsettings-desktop-schemas  gtk3  gvfs  libnma-common,/etc/dconf.conf
debugedit,glibc  libelf,None,base-devel,/etc/debugedit.conf
default-cursors,None,adwaita-cursors,libxcursor  wayland,/etc/default-cursors.conf
desktop-file-utils,glib2  libglib-2.0.so=0-64,None,chromium  gtk2  gtk3  mousepad  onlyoffice-bin  thunar  xfburn  xfce4-panel  zathura  zathura-cb  zathura-djvu  zathura-pdf-poppler  zathura-ps,/etc/desktop-file-utils.conf
device-mapper,glibc  systemd-libs  libudev.so=1-64,None,cryptsetup  dmraid  grub  libblockdev  lvm2  parted  xfsprogs,/etc/device-mapper.conf
diffutils,glibc  bash,None,autoconf  mkinitcpio,/etc/diffutils.conf
djvulibre,bash  gcc-libs  glibc  hicolor-icon-theme  libjpeg-turbo  libtiff,None,zathura-djvu,/etc/djvulibre.conf
dmraid,device-mapper>=2.0.54,None,None,/etc/dmraid.conf
dnssec-anchors,None,None,ldns,/etc/dnssec-anchors.conf
docbook-xml,libxml2,None,docbook-xsl  gtk-doc,/etc/docbook-xml.conf
docbook-xsl,libxml2  libxslt  docbook-xml,None,gtk-doc,/etc/docbook-xsl.conf
docx2txt,perl  unzip,None,None,/etc/docx2txt.conf
dosfstools,glibc,None,None,/etc/dosfstools.conf
double-conversion,gcc-libs,None,qt5-base,/etc/double-conversion.conf
dropbox,libsm  libxslt  libxmu  libxdamage  libxrender  libxxf86vm  libxcomposite  fontconfig  dbus,ufw-extras,None,/etc/dropbox.conf
duktape,glibc,None,libproxy  polkit,/etc/duktape.conf
dvisvgm,texlive-bin  woff2  ghostscript,None,texlive-binextra  texlive-latex,/etc/dvisvgm.conf
e2fsprogs,sh  util-linux-libs,lvm2,krb5  libblockdev,/etc/e2fsprogs.conf
efibootmgr,glibc  popt  libefiboot.so=1-64  libefivar.so=1-64,None,None,/etc/efibootmgr.conf
efivar,glibc,None,efibootmgr,/etc/efivar.conf
electron22,c-ares  gtk3  libevent  nss  wayland  fontconfig  woff2  aom  brotli  libjpeg  icu  dav1d  flac  snappy  libxml2  ffmpeg  libwebp  minizip  opus  harfbuzz  jsoncpp  libxslt  libpng  freetype2,kde-cli-tools,None,/etc/electron22.conf
elementary-icon-theme,hicolor-icon-theme,None,xfce4-settings,/etc/elementary-icon-theme.conf
ell,gcc-libs,None,iwd,/etc/ell.conf
endeavouros-keyring,None,None,archlinux-tweak-tool-git,/etc/endeavouros-keyring.conf
endeavouros-mirrorlist,None,None,archlinux-tweak-tool-git,/etc/endeavouros-mirrorlist.conf
exo,libxfce4ui,None,thunar  xfburn  xfce4-panel  xfce4-settings  xfdesktop,/etc/exo.conf
expat,glibc,None,avahi  dbus  dbus-glib  fontconfig  git  libarchive  libva-mesa-driver  perl-xml-parser  polkit  python  wayland,/etc/expat.conf
fakeroot,glibc  filesystem  sed  util-linux  sh,None,base-devel  pacman-contrib,/etc/fakeroot.conf
feh,curl  file  imlib2  libexif  libxinerama,imagemagick,None,/etc/feh.conf
ffcall,glibc,None,texlive-bin,/etc/ffcall.conf
ffmpeg,alsa-lib  aom  bzip2  fontconfig  fribidi  gmp  gnutls  gsm  jack  lame  libass.so=9-64  libavc1394  libbluray.so=2-64  libbs2b.so=0-64  libdav1d.so=6-64  libdrm  libfreetype.so=6-64  libgl  libiec61883  libjxl.so=0.8-64  libmfx  libmodplug  libopenmpt.so=0-64  libpulse  librav1e.so=0-64  libraw1394  librsvg-2.so=2-64  libsoxr  libssh  libtheora  libva.so=2-64  libva-drm.so=2-64  libva-x11.so=2-64  libvdpau  libvidstab.so=1.2-64  libvorbisenc.so=2-64  libvorbis.so=0-64  libvpx.so=8-64  libwebp  libx11  libx264.so=164-64  libx265.so=199-64  libxcb  libxext  libxml2  libxv  libxvidcore.so=4-64  libzimg.so=2-64  ocl-icd  opencore-amr  openjpeg2  opus  sdl2  speex  srt  svt-av1  v4l-utils  vmaf  vulkan-icd-loader  xz  zlib,avisynthplus,chromium  electron22  firefox,/etc/ffmpeg.conf
fftw,bash  gcc-libs  glibc  openmpi,None,imagemagick  pulseaudio,/etc/fftw.conf
file,glibc  zlib  xz  bzip2  libseccomp  libseccomp.so=2-64  zstd  libzstd.so=1-64,None,base  base-devel  feh  nano  ristretto  util-linux  xdg-utils  zathura,/etc/file.conf
